================ Training Loss (Tue Sep  8 19:09:50 2026) ================
[Rank 0] (epoch: 1, iters: 2600, time: 0.209, data: 0.070) , G_GAN: 0.139, G_NCE: 2.103, Proj_distill: 0.001, Proj_pyramid: 0.096, Proj_sparse: 0.002, D: 0.061, noise_std: 0.274, white_ratio: 0.000

[Rank 0] (epoch: 1, iters: 2700, time: 0.208, data: 0.066) , G_GAN: 0.241, G_NCE: 2.492, Proj_distill: 0.001, Proj_pyramid: 0.084, Proj_sparse: 0.002, D: 0.035, noise_std: 0.273, white_ratio: 0.000

[Rank 0] (epoch: 1, iters: 2800, time: 0.208, data: 0.068) , G_GAN: 0.246, G_NCE: 2.410, Proj_distill: 0.000, Proj_pyramid: 0.055, Proj_sparse: 0.001, D: 0.054, noise_std: 0.272, white_ratio: 0.000

[Rank 0] (epoch: 1, iters: 2900, time: 0.209, data: 0.065) , G_GAN: 0.323, G_NCE: 2.233, Proj_distill: 0.000, Proj_pyramid: 0.059, Proj_sparse: 0.001, D: 0.049, noise_std: 0.271, white_ratio: 0.000

[Rank 0] (epoch: 1, iters: 3000, time: 0.301, data: 0.071) , G_GAN: 0.378, G_NCE: 2.344, Proj_distill: 0.000, Proj_pyramid: 0.038, Proj_sparse: 0.001, D: 0.022, noise_std: 0.270, white_ratio: 0.001

[Rank 0] (epoch: 1, iters: 3100, time: 0.209, data: 0.078) , G_GAN: 0.322, G_NCE: 2.144, Proj_distill: 0.000, Proj_pyramid: 0.048, Proj_sparse: 0.001, D: 0.030, noise_std: 0.269, white_ratio: 0.000

[Rank 0] (epoch: 1, iters: 3200, time: 0.211, data: 0.068) , G_GAN: 0.268, G_NCE: 2.085, Proj_distill: 0.000, Proj_pyramid: 0.053, Proj_sparse: 0.001, D: 0.044, noise_std: 0.268, white_ratio: 0.004

[Rank 0] (epoch: 1, iters: 3300, time: 0.208, data: 0.072) , G_GAN: 0.188, G_NCE: 2.026, Proj_distill: 0.000, Proj_pyramid: 0.052, Proj_sparse: 0.001, D: 0.046, noise_std: 0.267, white_ratio: 0.001

[Rank 0] (epoch: 1, iters: 3400, time: 0.205, data: 0.061) , G_GAN: 0.272, G_NCE: 2.070, Proj_distill: 0.000, Proj_pyramid: 0.028, Proj_sparse: 0.001, D: 0.030, noise_std: 0.266, white_ratio: 0.001

[Rank 0] (epoch: 1, iters: 3500, time: 0.205, data: 0.066) , G_GAN: 0.139, G_NCE: 2.434, Proj_distill: 0.001, Proj_pyramid: 0.086, Proj_sparse: 0.002, D: 0.019, noise_std: 0.265, white_ratio: 0.002

[Rank 0] (epoch: 1, iters: 3600, time: 0.209, data: 0.067) , G_GAN: 0.300, G_NCE: 2.020, Proj_distill: 0.000, Proj_pyramid: 0.051, Proj_sparse: 0.001, D: 0.046, noise_std: 0.264, white_ratio: 0.001

